ANO;UNIDADES TEMÁTICAS;OBJETOS DE CONHECIMENTO;OBJETOS ESPECÍFICOS;HABILIDADES;RELAÇÃO INTRACOMPONENTE;RELAÇÃO INTERCOMPONENTE;COMPETÊNCIAS ESPECÍFICAS
9º;Números;Potências com expoentes negativos e fracionários;"• Utilização das propriedades da potenciação e radiciação para simplificar radicais;
• Calculo de expressões com radicais, a partir do conhecimento de suas propriedades e formas de simplificação, determinando a raiz enésima de um número real;
• Realização de  cálculos de radiciação com outros índices;
• Realização de cálculos de potências de expoente racional, inclusive negativos;
• Resolução de expressões numéricas com nú- meros reais e suas operações (operações básicas, potenciação, radiciação, simplificação de radicais, racionalização de
denominadores, dentre outras).";(EF09MA03) Efetuar cálculos com núme- ros reais, inclusive potências com expoen- tes fracionários.;(EF08MA02) (EF09MA01) (EF09MA02);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
9º;Números;Números reais: notação científica e problemas;• Resolução de problemas envolvendo números reais e todas as suas operações, inclusive na forma de notação científica.;(EF09MA04) Resolver e elaborar pro- blemas com números reais, inclusive em notação científica, envolvendo diferentes operações.;(EF08MA02) (EF09MA01) (EF09MA03) (EF09MA18);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
9º;Números;Porcentagens: problemas que envolvem cálculo de percentuais sucessivos;"• Abordar os conceitos relacionados ao sistema monetário: lucro, acréscimos e descontos;
• Relacionar situações que se aplica o conceito de juros simples;
• Relacionar situações que se aplica os com- postos;
• Relacionar situações que se aplica os simples;
• Resolver problemas que envolvam os conceitos de juros simples e compostos, descontos simples, determinação de taxas percentuais no contexto da educação financeira e com o uso de softwares ou não.";"(EF09MA05) Resolver e elaborar pro- blemas que envolvam porcentagens, com a ideia de aplicação de percentuais sucessivos e a determinação das taxas
percentuais, preferencialmente com o uso de tecnologias digitais, no contexto da educação financeira.";(EF04MA09) (EF05MA06) (EF06MA09) (EF07MA02) (EF08MA04);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
9º;Álgebra;Funções: representações numérica, algébrica e gráfica;"• Compreensão do conceito de função;
• Construção do gráfico de uma função polino- mial utilizando softwares ou não;               • Exemplos de relações entre variáveis reais, moti- vados por contextos científicos ou do cotidiano;
• Condições para definição de uma função;
• Variáveis dependentes e independentes;
• Representação geométrica do gráfico de funções no plano cartesiano.";(EF09MA06) Compreender as funções como relações de dependência unívoca entre duas variáveis e suas representações numérica, algébrica e gráfica e utilizar esse conceito para analisar situações que envolvam relações funcionais entre duas variáveis.;(EF05MA15) (EF07MA04) (EF07MA13) (EF08MA06);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
9º;Álgebra;Razão entre grandezas de espécies diferentes;"• Determinação da razão entre grandezas de espécies diferentes;
• Interpretação e resolução de problemas en- volvendo razões entre grandezas de espécies diferentes (velocidade, densidade demográfica, vazão, etc.);";(EF09MA07) Resolver problemas que envolvam a razão entre duas grandezas de espécies diferentes, como velocidade e densidade demográfica.;(EF07MA17) (EF08MA12) (EF08MA13);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
9º;Álgebra;Grandezas diretamente proporcionais e gran- dezas inversamente proporcionais;"• Resolução de problemas utilizando regra de três simples ou composta;
• Identificação do uso do conceito de proporção para determinar razões entre grandezas de espécies diferentes;
• Identificação e aplicação desses conceitos nas mais variadas áreas do conhecimento (ciências, geografia, etc.).";"(EF09MA08) Resolver e elaborar problemas que envolvam relações de proporcionalidade direta e inversa entre duas ou mais grandezas, inclusive escalas, divisão em partes proporcionais e taxa
de variação, em contextos socioculturais, ambientais e de outras áreas.";(EF07MA17) (EF08MA12) (EF08MA13) (EF09MA07);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
9º;Álgebra;Expressões algébricas: fatoração e produtos notáveis Resolução de equações polinomiais do 2º grau por meio de fatorações;"• Interpretação geométrica e algébrica dos prin- cipais casos de produtos notáveis: o quadrado da soma de dois termos, o quadrado da diferença de dois termos e o produto da soma pela diferença de dois termos;
• Resolução de situações-problema utilizando produtos notáveis;
• Interpretação geométrica e algébrica dos principais casos de fatoração: fator comum em evidência, agrupamento, trinômio quadrado perfeito e diferença de dois
• Fatoração das expressões algébricas;
• Resolução de problemas que possam ser representados por equações do 2º grau;";(EF09MA09) Compreender os processos de fatoração de expressões algébricas, com base em suas relações com os produtos notáveis, para resolver e elaborar proble- mas que possam ser representados por equações polinomiais do 2º grau.;(EF08MA09);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
9º;Geometria;Demonstrações de relações entre os ângulos formados por retas paralelas intersectadas por uma transversal;"• Identificação dos ângulos formados por duas retas paralelas cortadas por uma transversal: alternos, colaterais, correspondentes;
• Estabelecimento da relação dos ângulos formados por duas retas paralelas cortadas por uma transversal.";(EF09MA10) Demonstrar relações simples entre os ângulos formados por retas paralelas cortadas por uma transversal.;(EF07MA23);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
9º;Geometria;Relações entre arcos e ângulos na circunferência de um círculo;"• Identificação do ângulo central e setor circular em circunferências;
• Determinação da medida de um ângulo central;
• Interpretação do conceito de ângulo inscrito  a uma circunferência e determinando a medida desse ângulo;
• Reconhecimento de arcos, ângulo central e ângulo inscrito na circunferência, estabelecendo a relação entre eles;
• Construção da circunferência e determinação de ângulos centrais, ângulos inscritos e arcos usando instrumentos de desenho geométrico
e softwares de geometria dinâmica.";(EF09MA11) Resolver problemas por meio do estabelecimento de relações entre arcos, ângulos centrais e ângulos inscritos na circunferência, fazendo uso, inclusive, de softwares de geometria dinâmica.;;;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
9º;Geometria;Semelhança de triângulos;"• Reconhecimento de triângulos semelhantes segundo cada um dos casos de semelhança;
• Aplicação do teorema fundamental da seme- lhança de triângulos;
• Aplicação das propriedades da homotetia;
• Reconhecimento de que as imagens de uma figura construída por uma transformação homo- tética são semelhantes;
• Resolução de problemas que envolvem a semelhança de figuras planas.";(EF09MA12) Reconhecer as condições necessárias e suficientes para que dois triângulos sejam semelhantes.;(EF09MA13);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
9º;Geometria;Relações métricas no triângulo retângulo Teorema de Pitágoras: verificações experimen- tais e demonstração Retas paralelas corta- das por transversais: teoremas de proporcio- nalidade e verificações experimentais;"• Identificação dos elementos de um triângulo retângulo: hipotenusa e catetos;
• Análise dos casos de semelhança e as relações métricas no triângulo retângulo;
• Aplicação do teorema de Pitágoras;
• Aplicação de outras relações métricas no triângulo retângulo;
• Resolução de problemas que envolvem as relações métricas no triângulo retângulo.";(EF09MA13) Demonstrar relações métri- cas do triângulo retângulo, entre elas o teorema de Pitágoras, utilizando, inclusive, a semelhança de triângulos.;(EF08MA15) (EF08MA17) (EF09MA14);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
